,Time,User,Tweet
0,2023-02-21 11:43:33+00:00,shaydottie,Finally something relatable on here 💆🌼 https://t.co/gC5l5gPL42
1,2023-02-21 11:42:28+00:00,wh1zzyouttahere,"RT @VinceChepkwony: This is Kevin Otieno. To me, he deserves to trend than that whistling lady we saw

Video courtesy of Tiktok https://t.c…"
2,2023-02-21 11:42:22+00:00,Ryanmakesurday,The disrespect level is insane https://t.co/2fDZZmBvai
3,2023-02-21 11:40:19+00:00,mulletmommy__,Me when my man is dedicating a Wizkid love song https://t.co/7L5B3PvEju https://t.co/PrR5qui2FK
4,2023-02-21 11:40:11+00:00,Kandagoo,5'11 https://t.co/bXIC2WHiJ3 https://t.co/VroTOUGpcd
5,2023-02-21 11:40:09+00:00,FoxNews,'WE WANT THE TRUTH': GOP congressman blasts blue state governor as hundreds of residents rally against green energy… https://t.co/f1xxjX2vvI
6,2023-02-21 11:39:43+00:00,ykitskenzie,@Ryanmakesurday @ClarenceBSR @delulubitxh002 We aint the same bruv🤣
7,2023-02-21 11:38:56+00:00,ykitskenzie,Me yesterday: https://t.co/NBo9qKiHzc
8,2023-02-21 11:38:40+00:00,nguyo14,RT @robinmikelit: @nguyo14 @mitchelle_k_o https://t.co/c1TFcbdlnZ
9,2023-02-21 11:38:19+00:00,MaggieBoro_,RT @sir_byrone: At my place my system can't play Afro beats utaskiza Peru kwa earphones ukienda kwako
10,2023-02-21 11:37:08+00:00,Ryletk,RT @meloinhiding: good morning twitter https://t.co/NeqeIeVCb9
11,2023-02-21 11:36:14+00:00,shaydottie,RT @4beltheactivist: Pinning this for the day 😎
12,2023-02-21 11:34:56+00:00,shaydottie,I'm officially the only girl left you has never moved in with a man~
13,2023-02-21 11:34:44+00:00,NiqueAnthony,RT @just_wayu: What does this mean 😳 https://t.co/jfMITde7c5
14,2023-02-21 11:34:22+00:00,_waiswah,"It's my Ex birthday,that bastard was once my world"
15,2023-02-21 11:33:02+00:00,MaggieBoro_,RT @Bradlibese: @Cashew_Butter Unachukua hustler fund alafu unabet tena
16,2023-02-21 11:32:55+00:00,sandra__xxx,For 150k I better be marrying Arya herself https://t.co/dJCcc5yvUJ
17,2023-02-21 11:32:16+00:00,NiqueAnthony,"RT @adamkeys_: 17 years ago today, Thierry Henry scored this goal at the Bernabeu to secure a 1-0 #Arsenal win. Every Real Madrid player wa…"
18,2023-02-21 11:31:08+00:00,wh1zzyouttahere,Surgery for your legs because you can't stand not having a job? https://t.co/paUVXXlaou
19,2023-02-21 11:30:41+00:00,NiqueAnthony,"RT @AFTVMedia: Would Declan Rice be your number one target in the summer? 💬

#AFC #Arsenal #Arteta https://t.co/ACHZejAkF3"
